qstr_Next_Page|Next Page
qstr_strolling_the_street|strolling the streets
qstr_on_a_pilgrimage|on a pilgrimage
qstr_a_member_of_the_loca|a member of the local militia,
qstr_on_patrol|on patrol
qstr_patrolling_the_town|patrolling the town
qstr_investigating_suspic|investigating suspicious activity
qstr_a_local_militiaman|a local militiaman
qstr_hunting_for_his_lord|hunting for his lord
qstr_a_soldier_from_the_c|a soldier from the castle,
qstr_on_guard_duty|on guard duty
qstr_a_soldier_who_would_|a soldier who would not give his name
qstr_scouting_the_area|scouting the area
qstr_a_young_noble_lad|a young noble lad,
qstr_looking_for_a_friend|looking for a friend
qstr_on_important_busines|on important business
qstr_meeting_someone|meeting someone
qstr_hunting_a_stag|hunting a stag
qstr_traveling_to_his_fat|traveling to his father's estate
qstr_a_caravan_guard|a caravan guard,
qstr_looking_for_his_mate|looking for his mates
qstr_waiting_to_meet_his_|waiting to meet his next contract
qstr_checking_the_horses|checking the horses
qstr_scouting_ahead_of_hi|scouting ahead of his caravan
qstr_catching_up_to_the_c|catching up to the caravan
qstr_escorting_a_caravan|escorting a caravan
qstr_a_bounty_hunter|a bounty hunter,
qstr_following_up_on_a_le|following up on a lead
qstr_waiting_to_meet_an_i|waiting to meet an informant
qstr_on_the_trail_of_a_no|on the trail of a notorious outlaw
qstr_asking_if_we_had_see|asking if we had seen bandits in the area
qstr_a_Mercenary_Sellswor|a Mercenary Sellsword,
qstr_waiting_for_his_serg|waiting for his sergeant
qstr_on_his_way_to_town|on his way to town
qstr_asking_if_we_knew_wh|asking if we knew where he could find work
qstr_a_Militia_Warder|a Militia Warder,
qstr_checking_on_a_recrui|checking on a recruit
qstr_waiting_to_meet_a_bo|waiting to meet a bounty hunter
qstr_asking_if_we_had_seen|asking if we had seen his friends
qstr_a_young_Noble_by_the|a young Noble by the name of Lord {s12},
qstr_on_important_business|on important business for a Lord
qstr_a_wandering_Ranger_b|a wandering Ranger by the name of {s12},
qstr_preparing_to_leave_t|preparing to leave the town
qstr_investigating_someth|investigating something suspicious
qstr_waiting_for_a_fellow|waiting for a fellow ranger
qstr_a_good_squire_named_|a good squire named {s12},
qstr_waiting_for_his_Lord|waiting for his Lord
qstr_meeting_a_friend|meeting a friend
qstr_going_to_meet_his_Lo|going to meet his Lord
qstr_a_neighbor_of_mine|a neighbor of mine
qstr_on_his_way_to_the_sh|on his way to the shop
qstr_walking_to_work|walking to work
qstr_a_relative_of_a_frie|a relative of a friend
qstr_on_his_way_to_his_ma|on his way to his masters shop
qstr_looking_for_his_litt|looking for his little brother
qstr_my_distant_cousin_na|my distant cousin named {s12},
qstr_avoiding_his_wife|avoiding his wife
qstr_looking_for_his_son|looking for his son
qstr_my_sister_s_husband_|my sister's husband's cousin twice removed
qstr_avoiding_his_mother_|avoiding his mother-in-law
qstr_looking_for_his_wayw|looking for his wayward son
qstr_a_few_days_ago|a few days ago
qstr_last_night|last night
qstr_earlier_this_morning|earlier this morning
qstr_yesterday|yesterday
qstr_after_sundown_yester|after sundown yesterday
qstr_while_dining_yesterd|while dining yesterday
qstr_at_breakfast_this_mo|at breakfast this morning
qstr_while_at_the_merchan|while at the merchant shop
qstr_in_the_tavern|in the tavern
qstr_in_the_street|in the street
qstr_outside_the_walls|outside the walls
qstr_in_the_castle_courty|in the castle courtyard
qstr_noon_yesterday|noon yesterday
qstr_recently|recently
qstr_I_heard_{s9}_from_{s|I heard {s9} from {s11}
qstr_I_was_told_{s13}_of_|I was told {s13} of {s9} from {s11}
qstr_Hmm_{s13}_I_heard_{s|Hmm, {s13} I heard {s9} from {s11}
qstr_I_heard_{s9}_from_{s1|I heard {s9} from {s11} {s13}
qstr_I_met_{s11}_{s13}_wh|I met {s11} {s13} who told me {s9}
qstr_I_came_across_{s9}_f|I came across {s9} from {s11}
qstr_On_a_chance_encounte|On a chance encounter, I heard {s9} from {s11}
qstr_I_ran_into_{s11}_{s1|I ran into {s11} {s13}, who informed me of {s9}
qstr_I_bumped_into_{s11}_|I bumped into {s11} {s13}, who relayed to me {s9}
qstr_I_overheard_{s9}_fro|I overheard {s9} from {s11}
qstr_Snake_Cult|Snake Cult
qstr_Jatu|Jatu
qstr_thieves_and_bandits_|thieves and bandits of the forests
qstr_Noldor|Noldor
qstr_D_Shar_Steppe_Raider|D'Shar Steppe Raiders
qstr_recent_events_that_s|recent events that seem out of the ordinary
qstr_outlaws_and_forest_b|outlaws and forest brigands
qstr_outlaws_and_highwaym|outlaws and highwaymen
qstr_rogue_and_outlawed_K|rogue and outlawed Knights
qstr_various_adventure_co|various adventure companies
qstr_Heretics|Heretics
qstr_Red_Brotherhood|Red Brotherhood
qstr_Knights_of_Eventide|Knights of Eventide
qstr_Knights_of_the_Dawn|Knights of the Dawn
qstr_Mettenheim|Mettenheim
qstr_Singalians|Singalians
qstr_travellers|travellers
qstr_the_accursed_{s14}|the accursed {s14}
qstr_the_vile_{s14}|the vile {s14}
qstr_the_damned_{s14}|the damned {s14}
qstr_the_barbaric_{s14}|the barbaric {s14}
qstr_the_horrid_{s14}|the horrid {s14}
qstr_the_filthy_{s14}|the filthy {s14}
qstr_days|days
qstr_in_the_afternoon|in the afternoon
qstr_fresh|fresh
qstr_in_the_morning|in the morning
qstr_fresh_cool|fresh cool
qstr_nights|nights
qstr_after_dark|after dark
qstr_fresh_night|fresh night
qstr_after_sunset|after sunset
qstr_night|night
qstr__few_{s7}_ago| few {s7} ago
qstr_h_yes_it_was_two_{s7|h yes, it was two {s7} ago, {s17}
qstr_hh_it_was_yesterday_|hh, it was yesterday, {s17}
qstr_bout_three_{s7}_ago|bout three {s7} ago
qstr__handful_of_{s7}_ago| handful of {s7} ago
qstr__few_{s7}_past_{s17}| few {s7} past, {s17}
qstr_{s41}|{s41}
qstr_{s42}|{s42}
qstr_{s43}|{s43}
qstr_taking_a_stroll|taking a stroll
qstr_headed_to_the_tavern|headed to the tavern
qstr_walking_home|walking home
qstr_getting_some_{s18}_a|getting some {s18} air
qstr_enjoying_the_{s18}_a|enjoying the {s18} air
qstr_he|he
qstr_A{s12}_{s50}_was_{s3|A{s12}, {s50} was {s30},
qstr_When_{s50}_was_{s30}|When {s50} was {s30} a{s12},
qstr_A{s12}_when_{s50}_wa|A{s12}, when {s50} was {s30},
qstr_We_came_across_{s11}|We came across {s11} while he was {s30}.  He told us about {s9}.
qstr_Aye_{s13}_we_encount|Aye, {s13} we encountered {s11} who told us about {s9}.
qstr_Yes_{s13}_we_encount|Yes, {s13} we encountered {s11} as he was {s30}.  We had a brief discussion during which he relayed {s9}.
qstr_Hmm_{s13}_we_came_up|Hmm, {s13} we came upon {s11} while he was {s30}.  A friendly sort, he let us know about {s9}.
qstr_Well_{s13}_we_met_{s|Well, {s13} we met {s11} while he was {s30}.  He told us {s9}.
qstr_{s4}_{s34}|{s4} {s34}
qstr_{s15}^{s10}|{s15}^{s10}
qstr_{s30}^{s3}|{s30}^{s3}
qstr_^^^Unfortunately_the|^^^Unfortunately, there wasn't anything left worth equipping.
qstr_{s2}_equipped_{s1}.|{s2} equipped {s1}.
qstr_{s2}_{s1}|{s2}, {s1}
qstr_{s2}_and_{s1}|{s2} and {s1}
qstr_{s2}|{s2}
qstr_{reg0}_noble_recruit|{reg0} noble recruits have joined your cause {reg1?({reg1} because of your shrines and churches{reg2?, {reg2} because of the glory to be in your army):)}:{reg2?({reg2} because of the glory to be in your army):}}
qstr_There_are_whispering|There are whisperings among the commoners that nobles are drawn to your cause
qstr_Your_Noldor_opponent|Your Noldor opponents are ready for training. You must knock out all {reg1} of them to finish the training successfully.
qstr_ranks|ranks
qstr_shield_wall|shield wall
qstr_wedge|wedge
qstr_square|square
qstr_up|up
qstr_Infantry_forming_{s1|Infantry forming {s1}.
qstr_Not_enough_infantry_|Not enough infantry to form {s1}, but holding.
qstr_Cavalry_forming_{s1}|Cavalry forming {s1}.
qstr_Not_enough_cavalry_t|Not enough cavalry to form {s1}, but holding.
qstr_Archers_forming_{s1}|Archers forming {s1}.
qstr_Not_enough_archers_t|Not enough archers to form {s1}, but holding.
qstr_Infantry_formation_d|Infantry formation disassembled.
qstr_Cavalry_formation_di|Cavalry formation disassembled.
qstr_Archer_formation_dis|Archer formation disassembled.
qstr_The_{s10}_in_{s2}_ha|The {s10} in {s2} has been fully repaired by the local craftsmen.
qstr_The_craftsmen_of_{s2|The craftsmen of {s2} have partly repaired the {s10}.
qstr_You_have_gained_{reg|You have gained {reg1} rank points with the {s1}.
qstr_You_have_lost_{reg1}|You have lost {reg1} rank points with the {s1}.
qstr_{s1}_{s2}_Knight|{s1} {s2} Knight
qstr_{s1}_{s2}_Knights|{s1} {s2} Knights
qstr_{s1}_{s2}|{s1} {s2}
qstr_The_secrets_of_makin|The secrets of making {s2} are now known to the Knighthood Orders.
qstr_{s1}|{s1}
qstr_{reg8}|{reg8}
qstr_You_ve_been_pimped_u|You've been pimped up!
qstr_{reg4}_killed_{reg5}|{reg4} killed, {reg5} wounded
qstr_{s0}^{s1}:_{reg3}__{|{s0}^{s1}: {reg3} ({s2})
qstr_{s0}^{s1}_ally_:_{re|{s0}^{s1}(ally): {reg3} ({s2})
qstr_{s0}^{s1}_enemy_:_{r|{s0}^{s1}(enemy): {reg3} ({s2})
qstr_not_enough_gold|not enough gold
qstr_inventory_is_full|inventory is full
qstr_{reg40}_denars_left|{reg40} denars left
qstr_Forming_ranks.|Forming ranks.
qstr_Gained_{reg33}_XP|Gained {reg33} XP
qstr_Top_tier_troops_just|Top tier troops just left {s2} garrison.
qstr_The_purge_order_has_|The purge order has been executed.
qstr_You_ve_got_the_keys_|You've got the keys to the dungeon.
qstr_You_have_escaped_fro|You have escaped from the fight with the scribe, talk to the Ghost Lady again.
qstr_You_have_been_knocke|You have been knocked out by the scribe, talk to the Ghost Lady again.
qstr_{s37}|{s37}
qstr_You_have_been_knocked|You have been knocked out!
qstr_You_were_defeated.|You were defeated.
qstr_Rotate_with_the_mous|Rotate with the mouse. Move with standard keys.
qstr_Shift/Control_for_Up|Shift/Control for Up/Down. Space Bar to increase speed.
qstr_Numpad_Plus/Minus_to|Numpad Plus/Minus to change sensitivity. Numpad to rotate.
qstr_Home_to_reset_positi|Home to reset position. End to flip Y rotation
qstr_Y_Rotation_Inverted|Y-Rotation Inverted
qstr_Y_Rotation_Normal|Y-Rotation Normal
qstr_Sensitivity___25%__{|Sensitivity - 25% ({reg8}, {reg9})
qstr_Sensitivity_+_25%__{|Sensitivity + 25% ({reg8}, {reg9})
qstr_You_have_fallen_in_b|You have fallen in battle!
qstr_Your_troops_are_char|Your troops are charging!
qstr_{s13}_has_died|{s13} has died
qstr_You_have_killed_{s13|You have killed {s13}
qstr_You_have_knocked_out|You have knocked out {s13}
qstr_You_can_t_retreat_be|You can't retreat because the enemy is too close!
qstr_You_must_stay_behind|You must stay behind the line on the ground! Point is not counted.
qstr_Cannot_leave_now.|Cannot leave now.
qstr__You_ve_lost_the_cha| You've lost the challenge!!!
qstr__You_ve_won_the_chal| You've won the challenge!!!
qstr_Tutorial|Tutorial
qstr_The_thieves_guarding|The thieves guarding the treasure were beaten - find the treasure chest
qstr_{s1}_won_sparring_se|{s1} won sparring session
qstr_You_came_into_the_wo|You came into the world the {reg3?daughter:son} of displaced nobility from the land of Pendor. Your family fled the Pendoran city of Cez just after you were born, and purchased a tumbledown manor in an outlying district of Barclay. Your father and his retainers managed to provide you with a good education in the duties of the aristocracy and the idioms of life at court. Your mother and father rarely spoke of their history in Pendor, though you did get the sense that you mother was not from the Baccus Empire that now holds claim to the lands where your father was raised.
qstr_You_were_born_the_{r|You were born the {reg3?daughter:son} of a Fierdsvain Merchant Ship Captain, and his wife from Sarleon. Together they traded between Barclay and the Ports of Pendor, dodging pirates, outwitting corrupt harbor masters and avoiding the vicious Red Brotherhood, which seemed to grow stronger each year. Your father grew prosperous from his ventures, and paid off the debt on his ship to the Ship masters Guild in Barclay with a percentage of his earnings. It was a modest life but they provided you with a good education and a talent for making profit and opening new markets.
qstr_When_you_were_a_chil|When you were a child, your father earned a respectable living as a master-at-arms in Barclay, hiring out to those who could pay for his services. He had great skill with a sword. Patiently he taught you all he knew, and you became capable with both sword and lance. He was rough, callous, but fair. Your mother was a minor Noble from Pendor who spoke very little of her past - though she did let on that she met your father when he rescued her from kidnappers. Your father spoke only once of the Knighthood Order to which he belonged, and then only said that it had been outlawed by order of the former King of Sarleon. He refused to answer your many questions about his deeds or even the name of the Order, saying only that he preferred not to speak of it.
qstr_{reg3?daughter:son}|{reg3?daughter:son}
qstr_You_were_the_{reg3?d|You were the {reg3?daughter:son} of a man and woman who traveled with a band of mercenary adventurers. On many a night, you listened raptly to your their tales of bravery, adventure and sacrifice. They worked often for the Sheriff and Wardens in the outlying towns of Eastern Barclay, tracking down and capturing the poachers, outlaws and bandits who plagued the forests where you grew up. Both of them taught you how to survive in the wilds, to fight, and how to spot and avoid danger. 
qstr_Your_father_was_a_ba|Your father was a banished chieftain's son from the far lands of southern desert lands of Pendor. Growing up, you were a nomadic child, living in a wagon on the road. Your family traveled from place to place, camping for no more than half a year before moving on. Your father was born on the D'Shar Plains and your mother was a lady in waiting from Sarleon. They never really answered your many questions about how they knew each other or the circumstances around  their meeting. Your father told you many stories of how his people lived and fought, inspiring you with pride in your ancestry. Years ago, when their father died, his older brother had banished him from his tribe. He gathered up his wife and few possessions and moved to the Northern Plains of Barclay, where you were born. He was joined by other D'shar outcasts and these outcasts formed their own new tribe, living off the land and carrying on the traditions of their homeland across the Eastern Sea. He taught you how to fight, and how to survive through self-reliance.
qstr_Your_father_never_to|Your father never told you of your mother, and indeed seemed very secretive about his past, as you grew up in the poor section of Barclay's waterfront district. You received very little 'formal' education, however your father did teach you from a young age how to defend yourself, and how to spot and avoid danger. When you were a bit older, he taught you about herbs, poisons, and antidotes, and how to keep someone alive when they were wounded. He never stepped in to offer you protection from the local bullies, but insisted that you fight your own battles. He would often leave for extended periods of time, offering no explanation of where he was going, or saying when he would return. You raised yourself and sometimes had to resort to petty theft just to survive. Still, these difficult years made you streetwise, sharp to the secrets of cities and their shadowy back alley ways.
